이름 통솔 무력 지력
유대	53	65	32
유도	25	23	26
유략	71	66	59
유반	69	76	47
유벽	70	72	47
유복	64	49	73
유봉	75	79	44
유비	75	73	74
유선	8	21	36
유선	3	5	9
유섭	62	79	24
유소	71	53	74
유순	63	46	41
유승	45	65	33
유심	60	62	69
유씨	3	8	66
유언	53	38	80
유엽	36	32	92
유요	62	67	46
유우	55	33	69
유장	16	5	9
유종	24	22	64
유찬	78	75	64
유파	14	22	74
유평	70	71	68
유표	48	31	71
유현	54	66	51
유화	21	16	59
유훈	47	63	35
육개	65	61	78
육손	96	69	95
육적	20	7	71
육항	91	63	87
윤대목	4	9	33
윤묵	11	15	65
윤상	51	44	61
윤직	46	42	72
이각	69	72	24
이감	58	69	33
이부	31	36	74
이숙	46	69	59
이승	12	22	29
이엄	83	84	75
이유	61	26	93
이이	59	77	19
이적	29	24	80
이전	78	77	79
이통	73	81	57
이풍	55	48	67
이풍	69	74	50
이풍	25	35	67
이회	79	65	78
잠혼	1	1	33
장각	86	25	86
장간	9	6	65
장개	34	66	8
장굉	24	22	86
장구	69	72	44
장기	74	35	75
장남	70	69	37
장남	57	71	46
장노	51	26	73
장료	90	89	78
장막	52	53	70
장만성	73	81	45
장반	63	73	62
장보	83	71	81
장비	85	98	30
장빈	27	23	64
장서	55	76	35
장소	33	3	84
장소	8	12	31
장송	15	6	88
장수	80	73	60
장승	77	70	75
장양	78	80	68
장양	72	70	62
장억	79	72	74
장연	82	81	53
장영	75	74	41
장온	17	10	71
장완	78	34	84
장위	74	66	45
장윤	72	67	42
장의거	71	58	57
장익	75	74	71
장임	88	84	78
장제	67	43	80
장제	48	43	85
장제	70	66	52
장준	63	68	66
장집	31	29	70
장춘화	60	9	76
장특	73	54	75
장패	74	75	52
장포	75	87	48
장포	31	24	71
장합	90	89	69
장호	75	74	41
장화	36	27	78
장횡	59	70	23
장훈	72	68	41
장휴	53	27	74
장흠	78	84	51
저곡	55	51	66
저수	78	35	90
전기	49	69	61
전단	67	64	39
전만	51	73	39
전상	2	4	12
전속	47	60	55
전역	60	63	38
전예	80	72	80
전위	56	95	35
전의	61	68	44
전종	78	72	71
전주	66	66	72
전풍	72	29	93
전해	68	65	56
정무	56	35	75
정병	16	15	71
정보	84	79	79
정봉	81	80	71
정봉	66	66	53
정욱	70	49	90
정원	70	76	35
정원지	69	74	17
정은	69	73	40
정의	15	5	64
제갈각	72	47	90
제갈교	62	27	75
제갈균	29	25	51
제갈근	75	34	81
제갈량	92	38	100
제갈상	64	77	62
제갈서	41	40	29
제갈정	58	63	66
제갈첨	71	60	70
제갈탄	81	72	71
조광	67	71	53
조누	70	43	67
조모	54	61	59
조무	70	71	62
조방	5	3	27
조범	28	21	32
조비	70	71	83
조상	39	33	30
조성	54	74	38
조순	75	71	60
조식	18	22	81
조앙	74	67	66
조예	72	52	82
조우	50	43	37
조운	91	96	76
조웅	9	5	52
조인	89	86	56
조조	96	72	91
조진	87	74	68
조창	82	90	40
조충	31	21	85
조통	68	67	61
조표	54	69	32
조홍	79	81	44
조홍	66	72	28
조환	13	15	30
조훈	18	34	11
조휴	74	75	58
조희	30	26	50
종리목	77	72	73
종요	70	24	76
종육	32	12	71
종회	82	51	91
좌자	10	10	94
좌혁	62	66	51
주거	77	57	72
주령	71	73	67
주방	52	41	80
주앙	74	65	62
주연	79	69	71
주유	97	71	96
주이	70	68	60
주준	78	65	70
주지	65	85	41
주창	62	84	42
주치	71	56	72
주태	71	64	71
주태	76	91	48
주포	68	73	34
주환	84	82	73
주흔	65	62	72
진건	72	71	65
진교	61	27	76
진군	32	14	74
진궁	78	55	89
진규	15	4	82
진기	58	65	43
진도	76	71	63
진등	79	64	81
진란	66	69	40
진랑	58	70	35
진림	10	9	74
진무	74	87	43
진복	16	7	72
진수	12	22	60
진식	70	71	25
진응	62	72	45
진진	46	46	68
진태	84	73	86
진표	66	42	74
진횡	64	63	26
차주	49	49	40
착융	60	69	38
채모	77	70	77
채씨	8	7	69
채염	12	11	76
채중	40	54	2
채화	39	50	1
초선	10	26	81
초이	62	69	63
초주	3	3	66
초촉	65	72	33
최림	32	22	66
최염	18	55	70
추단	61	64	34
추씨	4	6	36
추정	70	64	66
축융	74	85	29
타사대왕	62	59	70
태사자	82	93	66
태사향	57	66	48
파재	71	74	52
포삼랑	72	83	56
포신	77	67	81
포융	58	76	49
풍습	72	71	39
하식	15	24	26
하안	6	30	71
하의	56	69	36
하제	83	78	72
하진	39	40	6
하후덕	69	73	32
하후돈	89	90	58
하후무	20	7	4
하후상	79	72	74
하후연	87	91	54
하후영녀	19	10	73
하후위	71	73	49
하후은	63	72	52
하후패	79	84	77
하후현	54	39	75
하후혜	50	44	75
하후화	48	51	70
학맹	62	67	42
학소	89	79	78
한거자	51	59	51
한당	76	85	56
한덕	63	76	25
한복	13	3	27
한섬	69	66	36
한수	89	70	77
한숭	25	15	70
한윤	26	29	64
한충	64	67	18
한현	22	33	7
한호	69	72	68
향랑	28	18	73
향총	76	61	76
허공	44	66	64
허소	16	11	74
허유	36	21	80
허의	51	74	15
허저	65	96	36
허정	3	5	67
형도영	61	80	41
호거아	26	82	41
호반	55	55	58
호분	71	76	50
호열	73	67	72
호제	57	39	68
호준	70	76	52
호진	65	74	12
호질	73	46	74
화만	69	82	32
화웅	81	92	56
화타	8	7	68
화핵	20	24	71
화흠	18	33	82
환계	10	26	67
환범	20	11	78
황개	79	83	65
황권	75	59	82
황보숭	87	61	73
황숭	67	63	72
황월영	51	31	88
황조	74	66	53
황충	86	93	60
황호	1	1	30
후선	63	66	34
후성	74	75	63
휴고	63	71	38
휴원진	52	68	45
희지재	23	7	88
