챔피언	레벨	공격력	공격속도	체력	마나	체력재생	마나재생	방어력	마법저항	이동속도	사거리	인기도
샤코	1	57.6	0.694	582.12	297.2	8.37	7.16	24.88	32.1	350	125	7.49
세주아니	1	57.5	0.67	600	400	8.68	7.21	29.54	32.1	340	125	7.25
소나	1	50	0.644	482.36	340.6	5.42	11.5	20.54	30	325	550	8.01
소라카	1	50	0.625	529.04	350.8	2.5	9	23.38	30	325	550	7.7
쉔	1	60.2	0.651	570.8	200	8.37	50	25.72	30	335	125	7.71
쉬바나	1	60.7	0.658	594.6	100	8.59	0	27.63	32.1	350	125	7.69
스웨인	1	52	0.625	516.04	374	7.84	6	22.72	30	335	500	7.76
스카너	1	61.2	0.625	601.28	272.2	8.93	7.21	29.38	32.1	345	125	6.92
시비르	1	57.5	0.625	515.76	284	5.17	8.01	22.21	30	335	500	7.52
신드라	1	53.9	0.61	511.04	384	6.51	6	24.71	30	330	550	7.17
신지드	1	62.3	0.613	542.76	290.6	8.02	7.52	27.88	30	345	125	7.41
신짜오	1	57.5	0.672	591.16	273.8	8.18	7.26	25.88	32.1	345	175	7.27
쓰레쉬	1	47.7	0.625	560.52	273.92	6.92	6	16	30	335	450	7.95
아리	1	53	0.668	514.4	334	6.51	6	20.88	30	330	550	8.05
아무무	1	53.4	0.638	613.12	287.2	8.88	7.38	23.54	32.1	335	125	7.72
아지르	1	52	0.6	524.4	350.56	6.92	6	19.04	30	325	525	6.27
아칼리	1	58.4	0.694	587.8	200	8.34	50	26.38	32.1	350	125	7.57
아트록스	1	60.4	0.651	537.8	105.6	6.59	0	24.38	32.1	345	150	6.78
알리스타	1	51	0.625	613.36	278.84	8.68	8.5	24.38	32.1	330	125	7.68
애니	1	50.4	0.579	511.68	334	5.42	6	19.22	30	335	625	7.66
애니비아	1	51.4	0.625	467.6	396.04	5.57	6	21.22	30	325	600	7.66
애쉬	1	56.5	0.658	527.72	280	5.42	11.5	21.21	30	325	600	7.42
앨리스	1	50.5	0.625	529.4	324	5.71	6	22.13	30	330	550	7.69
야스오	1	55.4	0.658	517.76	60	6.51	0	24.71	30	345	175	7.01
에코	1	59	0.625	580	280	9	9	27	32	340	125	7.57
오공	1	59.9	0.658	577.8	265.84	6.19	8.04	24.88	32.1	345	175	7.15
오리아나	1	40.4	0.658	517.72	334	6.87	6	17.04	30	325	525	7.7
요릭	1	57.6	0.625	563.8	293.8	8.18	6.76	25.05	32.1	345	125	6.87
우디르	1	58.3	0.658	593.32	270.4	8.71	7.51	25.47	32.1	345	125	5.31
우르곳	1	52	0.644	586.52	312.4	6.51	8.59	24.54	30	335	425	6.22
울라프	1	60	0.694	597.24	315.6	8.51	7.47	26.04	32.1	350	125	7.43
워윅	1	62.4	0.679	592.64	240.4	8.39	8.11	25.88	32.1	345	125	7.43
이렐리아	1	61.5	0.665	607.2	338.8	8.59	11.5	25.3	32.1	345	125	7.51
이블린	1	53.9	0.658	531.2	315.6	9.82	8.11	26.5	32.1	340	125	7.28
이즈리얼	1	55.7	0.625	484.4	360.6	6.42	8.09	21.88	30	325	550	7.96
일라오이	1	60	0.571	585.6	300	9.5	7.5	26	32.1	340	125	7.88
자르반4세	1	55.7	0.658	571.2	302.2	8.18	6.76	29	32.1	340	175	7.7
자이라	1	53.4	0.625	479.32	334	5.69	8.5	20.04	30	325	575	7.62
잔나	1	52	0.625	487.04	409.52	5.42	9	19.38	30	335	475	7.6
재드	1	54.7	0.687	579.4	200	7.09	50	26.88	32.1	345	125	7.94
잭스	1	62	0.638	592.8	338.8	8.37	7.58	27.04	32.1	350	125	7.7
쟈크	1	59.7	0.638	614.6	0	7.92	0	23.88	32.1	335	175	7.72
제라스	1	54.7	0.63	514.4	366.96	5.42	6	21.88	30	340	525	7
제이스	1	50.4	0.658	571.2	357.2	7.34	6	22.38	30	335	125	7.67
직스	1	54.2	0.656	524.4	384	6.26	6	21.54	30	325	550	7.68
질리언	1	51.6	0.625	499.28	360.8	5.44	8.5	19.13	30	335	550	7.41
징크스	1	58.5	0.625	517.76	245.6	5.84	6.68	22.88	30	325	525	7.73
초가스	1	61.2	0.625	574.4	272.2	8.93	7.21	28.88	32.1	345	125	7.5
카르마	1	53.5	0.625	522.44	374	5.62	8.5	20.38	30	335	525	6.61
카사딘	1	58.9	0.64	564.04	397.6	7.79	6	23.38	30	340	150	7.66
카서스	1	45.7	0.625	516	372.48	6.42	6	20.88	30	335	450	7.69
카시오페이아	1	52.4	0.647	506	370.8	5.69	8.36	22.22	30	335	550	6.41
카직스	1	55.2	0.665	572.8	327.2	7.51	7.59	27	32.1	350	125	7.63
카타리나	1	58	0.658	510	0	4.5	0	26.88	32.1	345	125	7.71
칼리스타	1	62.9	0.658	517.76	231.8	6	6.3	19.01	30	325	550	7.16
케넨	1	50.5	0.69	535.72	200	5.59	50	24.3	30	335	550	7.63
케이틀린	1	53.7	0.625	524.4	313.8	5.67	7.42	22.88	30	325	650	7.72
케일	1	56	0.638	574.24	322.2	8.26	8.5	26.88	30	335	125	7.55
코그모	1	54.5	0.665	517	348.88	5.92	8.68	19.88	30	325	500	7.46
코르키	1	56	0.625	512.76	350.16	5.42	7.42	23.38	30	325	550	7.17
퀸	1	56.5	0.668	532.8	268.8	5.42	6.97	23.38	30	335	525	7.06
킨드레드	1	54.4	0.625	540	300	7	6.5	27	30	325	500	7.78
타릭	1	57.9	0.625	619.2	349.08	7.94	8.5	25.88	32.1	340	125	6.92
탈론	1	55.2	0.668	582.8	377.2	8.51	7.59	26.88	32.1	350	125	7.68
탐켄치	1	56	0.625	610	325	6.5	8	27	32.1	335	175	7.26
트런들	1	60	0.672	616.28	281.6	9.43	7.51	27.54	32.1	350	175	6.6
트리스타나	1	51.5	0.656	542.76	246.76	6.19	7.21	22	30	325	550	7.59
트린다미어	1	61.4	0.644	625.64	100	8.51	0	24.11	32.1	345	125	7.68
트위스티드페이트	1	50	0.651	521.76	265.84	5.51	6	20.54	30	330	525	7.72
트위치	1	54.5	0.679	525.08	287.2	6.01	7.26	23.04	30	330	550	6.98
티모	1	57.1	0.687	515.76	267.2	5.74	7.21	24.3	30	330	500	6.19
판테온	1	55.6	0.644	579.16	317.12	7.84	7.36	27.65	32.1	355	150	7.7
피들스틱	1	48.4	0.625	524.4	400.12	5.61	6	20.88	30	335	480	7.44
피오라	1	60	0.672	550	300	8.25	8	24	32.1	345	150	7.16
피즈	1	58	0.658	558.48	317.2	8.18	6	22.41	32.1	335	175	7.55
하이머딩거	1	55.5	0.625	476	307.2	11.01	6	19.04	30	340	550	6.33
헤카림	1	61.4	0.67	599.6	327.2	9.26	7.51	26.72	32.1	345	175	7.5
가렌	2	62.4	0.625	700.53	0	8.34	0	30.54	33.35	340	175	7.24
갈리오	2	65.3	0.638	662.8	416	9.46	6.8	30.38	33.35	335	125	6.71
갱플랭크	2	62	0.651	662	322.2	6.26	8.38	29.34	33.35	345	125	6.65
그라가스	2	64.9	0.651	672.52	447	9.53	6.8	29.65	33.35	330	125	7.1
그레이브즈	2	63.2	0.625	635.12	362.2	7.38	8.63	27.78	30	345	425	7.7
나르	2	51	0.625	605	100	3	0	25.5	30	325	150	7.07
나미	2	54.3	0.643	563.32	420.24	5.97	11.9	23.72	30	335	550	7.86
나서스	2	62.7	0.638	651.2	367.6	9.91	7.94	28.38	33.35	350	125	7.21
노틸러스	2	60.8	0.613	662.48	381	8.92	9.33	30.21	33.35	325	175	7.15
녹턴	2	62.3	0.668	667.8	308.8	9.01	7.21	30.38	33.35	345	125	7.59
누누	2	60.3	0.625	694.28	325.56	9.19	7.94	29.88	33.35	350	125	6.88
니달리	2	51.4	0.638	631.2	340.6	6.61	6.8	26.38	30	335	525	7.56
다리우스	2	60.9	0.625	682.24	300.5	10.8	6.94	33.88	33.35	340	175	7.66
다이애나	2	56	0.625	679.2	337.2	8.28	6.8	29.65	33.35	345	150	7.73
드레이븐	2	58.7	0.679	639.76	399.56	6.88	8.69	28.84	30	330	550	7.46
라이즈	2	58	0.625	644.48	444.4	5.82	6.8	25.45	30	340	550	7.64
람머스	2	59.4	0.625	650.48	343.44	8.47	8.34	35.68	33.35	335	125	7.46
럭스	2	56.8	0.625	556.72	431	5.97	6.8	22.72	30	330	550	7.71
럼블	2	64.2	0.644	664.4	100	8.61	0	29.38	33.35	345	125	7.47
레넥톤	2	61.4	0.665	659.16	100	8.71	0	29.38	33.35	345	125	7.61
레오나	2	63	0.625	663.16	342.2	9.28	6.8	30.81	33.35	335	125	7.8
렉사이	2	59	0.625	701.2	100	7.99	0	32.05	33.35	335	175	7.66
렝가	2	63	0.67	676.2	5	4.67	0	29.38	33.35	345	125	7.76
루시안	2	59.8	0.638	634.4	386.88	6.84	8.88	27.04	30	335	500	7.55
룰루	2	49	0.625	626.76	347.4	6.61	11.8	22.92	30	325	550	7.77
르블랑	2	58.4	0.625	591	384	7.97	6.8	25.38	30	335	525	7.46
리븐	2	59	0.625	644.48	0	3.84	0	27.58	33.35	345	125	7.91
리산드라	2	53.2	0.625	590.12	354	7.47	6.07	23.92	30	325	550	7.42
리신	2	64.4	0.651	655.8	200	8.13	50	27.92	33.35	350	125	7.71
마스터이	2	63	0.679	690.56	292.56	8.24	7.71	27.04	33.35	355	125	6.25
마오카이	2	66.8	0.694	662.2	420.28	9.53	7.66	32.72	30	335	125	7.27
말자하	2	57.7	0.625	594.4	370.6	5.97	6.8	25.38	30	340	550	7.69
말파아트	2	65.3	0.638	664.2	322.2	8.92	7.87	32.05	33.35	335	125	7.67
모데카이저	2	66	0.694	605	120	3.92	0	23.75	33.35	325	175	7.38
모르가나	2	59	0.625	633.48	400.8	6.31	6.8	29.18	30	335	450	7.7
문도	2	64.3	0.625	671.52	0	8.51	0	30.38	33.35	345	125	7.46
미스포츈	2	47	0.656	615	360.84	6.84	8.69	27.04	30	325	550	7.56
바드	2	49	0.625	628	400	5.95	6.45	25	30	330	500	6.1
바루스	2	57.1	0.658	619.76	393	5.97	8.14	26.61	30	330	575	7.68
바이	2	59.4	0.643	667.8	340.6	9.91	8.74	29.38	33.35	345	125	7.54
베이가	2	53.3	0.625	574.76	444.4	5.97	6.8	26.3	30	340	525	6.75
베인	2	58.5	0.658	581.44	266.8	5.97	7.37	22.41	30	330	550	7.29
벨코즈	2	58.1	0.625	583.68	417.6	5.97	6.8	25.38	30	340	525	7.67
볼리베어	2	62.8	0.625	670.48	300.4	8.74	8.74	29.88	33.35	345	125	7.5
브라움	2	58.6	0.644	663.16	355.6	9.18	6.8	31.22	33.35	335	125	7.66
브랜드	2	60	0.625	583.68	417.6	5.97	8.61	25.38	30	340	550	7.04
블라디미르	2	51	0.658	627.8	0	7.61	0	25.38	30	335	450	7.61
블리츠크랭크	2	65	0.625	677.6	307.2	9.26	9.3	28.38	33.35	325	125	7.47
빅토르	2	55	0.625	594.04	374	8.49	6.8	26.72	30	335	525	7.14
뽀삐	2	65.3	0.638	640.08	265.4	8.92	7.61	32.72	30	345	125	6.26
사이온	2	63.7	0.625	615.64	367.6	10.98	8.61	26.04	33.35	345	175	6.65
샤코	2	61.1	0.694	666.12	334.2	8.92	7.61	28.38	33.35	350	125	7.49
세주아니	2	60.8	0.67	695	440	9.53	7.66	32.54	33.35	340	125	7.25
소나	2	53	0.644	559.36	385.6	5.97	11.9	23.84	30	325	550	8.01
소라카	2	53	0.625	607.04	410.8	3	9.4	27.18	30	325	550	7.7
쉔	2	63.5	0.651	655.8	200	8.92	50	29.72	30	335	125	7.71
쉬바나	2	64.1	0.658	689.6	100	9.39	0	30.98	33.35	350	125	7.69
스웨인	2	55	0.625	594.04	421	8.49	6.8	26.72	30	335	500	7.76
스카너	2	65.4	0.625	697.28	312.2	9.78	7.66	33.18	33.35	345	125	6.92
시비르	2	59.9	0.625	597.76	334	5.72	8.91	25.46	30	335	500	7.52
신드라	2	56.8	0.61	589.04	444	7.11	6.8	28.11	30	330	550	7.17
신지드	2	65.7	0.613	624.76	335.6	8.57	8.07	31.38	30	345	125	7.41
신짜오	2	60.8	0.672	678.16	308.8	8.88	7.71	29.38	33.35	345	175	7.27
쓰레쉬	2	49.9	0.625	653.52	317.92	7.47	6.8	16	30	335	450	7.95
아리	2	56	0.668	594.4	384	7.11	6.8	24.38	30	330	550	8.05
아무무	2	57.2	0.638	697.12	327.2	9.73	7.91	27.14	33.35	335	125	7.72
아지르	2	54.8	0.6	604.4	392.56	7.47	6.8	22.04	30	325	525	6.27
아칼리	2	61.6	0.694	672.8	200	8.99	50	29.88	33.35	350	125	7.57
아트록스	2	63.6	0.651	622.8	150.6	7.09	0	28.18	33.35	345	150	6.78
알리스타	2	54.6	0.625	719.36	316.84	9.53	9.3	27.88	33.35	330	125	7.68
애니	2	53	0.579	587.68	384	5.97	6.8	23.22	30	335	625	7.66
애니비아	2	54.6	0.625	537.6	446.04	6.12	6.8	25.22	30	325	600	7.66
애쉬	2	58.8	0.658	606.72	312	5.97	11.9	24.61	30	325	600	7.42
앨리스	2	53.5	0.625	609.4	374	6.31	6.8	25.48	30	330	550	7.69
야스오	2	58.6	0.658	599.76	60	7.41	0	28.11	30	345	175	7.01
에코	2	62	0.625	660	330	9.9	9.8	30	33.25	340	125	7.57
오공	2	63.1	0.658	662.8	303.84	6.84	8.69	28.38	33.35	345	175	7.15
오리아나	2	43	0.658	596.72	384	7.42	6.8	20.04	30	325	525	7.7
요릭	2	61.1	0.625	648.8	328.8	8.88	7.21	28.65	33.35	345	125	6.87
우디르	2	61.5	0.658	692.32	300.4	9.46	7.96	29.47	33.35	345	125	5.31
우르곳	2	55.6	0.644	675.52	367.4	7.11	9.24	27.84	30	335	425	6.22
울라프	2	63.5	0.694	690.24	357.6	9.41	8.04	29.04	33.35	350	125	7.43
워윅	2	65.8	0.679	690.64	270.4	9.19	8.71	29.38	33.35	345	125	7.43
이렐리아	2	64.8	0.665	697.2	370.8	9.24	12.15	29.05	33.35	345	125	7.51
이블린	2	57.4	0.658	621.2	357.6	10.37	8.71	30.3	33.35	340	125	7.28
이즈리얼	2	58.1	0.625	564.4	402.6	6.97	8.74	25.38	30	325	550	7.96
일라오이	2	65	0.571	680.6	340	10.3	8.25	29.8	33.35	340	125	7.88
자르반4세	2	59.1	0.658	661.2	342.2	8.88	7.21	32.6	33.35	340	175	7.7
자이라	2	56.6	0.625	553.32	384	6.19	9.3	23.04	30	325	575	7.62
잔나	2	54.9	0.625	565.04	473.52	5.97	9.4	23.18	30	335	475	7.6
재드	2	58.1	0.687	659.4	200	7.74	50	30.38	33.35	345	125	7.94
잭스	2	65.3	0.638	677.8	370.8	8.92	8.28	30.04	33.35	350	125	7.7
쟈크	2	63	0.638	709.6	0	8.47	0	27.38	33.35	335	175	7.72
제라스	2	57.7	0.63	594.4	410.96	5.97	6.8	25.38	30	340	525	7
제이스	2	53.9	0.658	661.2	394.2	8.14	6.8	25.88	30	335	125	7.67
직스	2	57.3	0.656	604.4	431	6.86	6.8	24.84	30	325	550	7.68
질리언	2	54.6	0.625	576.28	420.8	5.94	9.3	22.93	30	335	550	7.41
징크스	2	60.9	0.625	599.76	290.6	6.34	7.68	26.38	30	325	525	7.73
초가스	2	65.4	0.625	654.4	312.2	9.78	7.66	32.38	33.35	345	125	7.5
카르마	2	56.8	0.625	605.44	424	6.17	9.3	24.18	30	335	525	6.61
카사딘	2	62.8	0.64	642.04	464.6	8.29	6.8	26.58	30	340	150	7.66
카서스	2	48.9	0.625	591	433.48	6.97	6.8	24.38	30	335	450	7.69
카시오페이아	2	55.6	0.647	581	430.8	6.19	9.11	26.22	30	335	550	6.41
카직스	2	58.3	0.665	657.8	367.2	8.26	8.09	30	33.35	350	125	7.63
카타리나	2	61.2	0.658	593	0	5.05	0	30.38	33.35	345	125	7.71
칼리스타	2	65.8	0.658	600.76	266.8	6.55	6.7	22.51	30	325	550	7.16
케넨	2	53.8	0.69	614.72	200	6.24	50	28.05	30	335	550	7.63
케이틀린	2	55.8	0.625	604.4	348.8	6.22	7.97	26.38	30	325	650	7.72
케일	2	58.8	0.638	667.24	362.2	9.01	9.3	30.38	30	335	125	7.55
코그모	2	56.9	0.665	599	388.88	6.47	9.38	23.38	30	325	500	7.46
코르키	2	58.5	0.625	594.76	384.16	5.97	7.97	26.88	30	325	550	7.17
퀸	2	58.9	0.668	617.8	303.8	5.97	7.37	26.88	30	335	525	7.06
킨드레드	2	56	0.625	625	335	7.55	8.5	30.25	30	325	500	7.78
타릭	2	61.4	0.625	709.2	405.08	8.44	9.3	29.58	33.35	340	125	6.92
탈론	2	58.3	0.668	667.8	414.2	9.26	8.09	30.38	33.35	350	125	7.68
탐켄치	2	59.2	0.625	705	365	7.05	9	30	33.35	335	175	7.26
트런들	2	63	0.672	712.28	326.6	10.28	8.11	30.24	33.35	350	175	6.6
트리스타나	2	54.5	0.656	624.76	278.76	6.84	7.66	25	30	325	557	7.59
트린다미어	2	64.6	0.644	723.64	100	9.41	0	27.21	33.35	345	125	7.68
트위스티드페이트	2	53.3	0.651	603.76	303.84	6.11	6.8	23.69	30	330	525	7.72
트위치	2	56.9	0.679	606.08	327.2	6.61	7.71	26.04	30	330	550	6.98
티모	2	59.5	0.687	597.76	307.2	6.39	7.66	28.05	30	330	500	6.19
판테온	2	58.5	0.644	666.16	348.12	8.49	7.81	31.55	33.35	355	150	7.7
피들스틱	2	51	0.625	604.4	456.12	6.21	6.8	24.38	30	335	480	7.44
피오라	2	63.3	0.672	635	340	8.8	8.7	27.5	33.35	345	150	7.16
피즈	2	61	0.658	644.48	354.2	8.88	6.8	25.81	33.35	335	175	7.55
하이머딩거	2	58.2	0.625	551	347.2	12.76	6.8	22.04	30	340	550	6.33
헤카림	2	64.6	0.67	694.6	364.2	10.01	8.11	30.72	33.35	345	175	7.5
가렌	3	66.9	0.643	784.78	0	8.84	0	33.54	34.6	340	175	7.24
갈리오	3	68.7	0.646	747.8	463	10.21	7.6	33.88	34.6	335	125	6.71
갱플랭크	3	65	0.669	744	362.2	7.01	9.08	32.64	34.6	345	125	6.65
그라가스	3	68.4	0.664	761.52	494	10.38	7.6	33.25	34.6	330	125	7.1
그레이브즈	3	65.7	0.643	719.12	402.2	8.08	9.33	31.18	30	345	425	7.7
나르	3	54	0.628	670	100	3.5	0	28	30	325	150	7.07
나미	3	57.4	0.66	637.32	463.24	6.52	12.3	27.72	30	335	550	7.86
나서스	3	66.2	0.66	741.2	409.6	10.81	8.44	31.88	34.6	350	125	7.21
노틸러스	3	64.1	0.619	748.48	428	9.47	10.03	33.96	34.6	325	175	7.15
녹턴	3	65.4	0.686	752.8	343.8	9.76	7.66	33.88	34.6	345	125	7.59
누누	3	63.8	0.639	790.28	367.56	9.99	8.44	33.38	34.6	350	125	6.88
니달리	3	54.9	0.659	721.2	385.6	7.21	7.6	29.88	30	335	525	7.56
다리우스	3	65.9	0.631	782.24	338	11.75	7.29	37.88	34.6	340	175	7.66
다이애나	3	59	0.643	769.2	377.2	9.13	7.6	33.25	34.6	345	150	7.73
드레이븐	3	61.6	0.697	721.76	438.56	7.58	9.34	32.14	30	330	550	7.46
라이즈	3	61	0.638	730.48	496.4	6.37	7.6	29.35	30	340	550	7.64
람머스	3	62.9	0.639	736.48	376.44	9.02	8.84	39.98	34.6	335	125	7.46
럭스	3	60.1	0.634	635.72	478	6.52	7.6	26.72	30	330	550	7.71
럼블	3	67.4	0.656	744.4	100	9.21	0	32.88	34.6	345	125	7.47
레넥톤	3	64.5	0.683	746.16	100	9.46	0	33.18	34.6	345	125	7.61
레오나	3	66	0.643	750.16	382.2	10.13	7.6	34.41	34.6	335	125	7.8
렉사이	3	62.3	0.638	791.2	100	8.64	0	35.8	34.6	335	175	7.66
렝가	3	66	0.689	766.2	5	5.07	0	32.88	34.6	345	125	7.76
루시안	3	62.2	0.659	714.4	424.88	7.49	9.58	30.04	30	335	500	7.55
룰루	3	51.6	0.639	700.76	402.4	7.21	12.6	26.62	30	325	550	7.77
르블랑	3	61.9	0.634	666	434	8.52	7.6	28.88	30	335	525	7.46
리븐	3	62	0.647	730.48	0	4.34	0	30.78	34.6	345	125	7.91
리산드라	3	55.9	0.634	674.12	404	8.02	6.47	27.62	30	325	550	7.42
리신	3	67.6	0.671	740.8	200	8.83	50	31.62	34.6	350	125	7.71
마스터이	3	66	0.693	782.56	334.56	8.89	8.16	30.04	34.6	355	125	6.25
마오카이	3	70.1	0.709	752.2	463.28	10.38	8.11	36.72	30	335	125	7.27
말자하	3	60.7	0.634	674.4	415.6	6.52	7.6	28.88	30	340	550	7.69
말파아트	3	68.7	0.66	754.2	362.2	9.47	8.42	35.8	34.6	335	125	7.67
모데카이저	3	71	0.715	685	120	4.47	0	27.5	34.6	325	175	7.38
모르가나	3	62.5	0.635	719.48	460.8	6.91	7.6	32.98	30	335	450	7.7
문도	3	67.3	0.643	760.52	0	9.26	0	33.88	34.6	345	125	7.46
미스포츈	3	48	0.676	700	395.84	7.49	9.34	30.04	30	325	550	7.56
바드	3	52	0.638	721	450	6.5	6.9	29	30	330	500	6.1
바루스	3	59.5	0.675	701.76	426	6.52	8.94	30.01	30	330	575	7.68
바이	3	62.9	0.659	752.8	385.6	10.81	9.39	32.88	34.6	345	125	7.54
베이가	3	56	0.639	656.76	496.4	6.52	7.6	30.05	30	340	525	6.75
베인	3	60.2	0.684	664.44	301.8	6.52	7.77	25.81	30	330	550	7.29
벨코즈	3	61.2	0.634	659.68	459.6	6.52	7.6	28.88	30	340	525	7.67
볼리베어	3	66.1	0.643	756.48	330.4	9.39	9.39	33.38	34.6	345	125	7.5
브라움	3	61.8	0.658	750.16	400.6	10.18	7.6	35.72	34.6	335	125	7.66
브랜드	3	63	0.634	659.68	459.6	6.52	9.21	28.88	30	340	550	7.04
블라디미르	3	54	0.671	712.8	0	8.21	0	28.88	30	335	450	7.61
블리츠크랭크	3	68.5	0.632	772.6	347.2	10.01	10.1	32.38	34.6	325	125	7.47
빅토르	3	58	0.638	672.04	424	9.14	7.6	30.72	30	335	525	7.14
뽀삐	3	68.7	0.659	721.08	295.4	9.47	8.06	36.72	30	345	125	6.26
사이온	3	67.7	0.635	688.64	409.6	11.78	9.21	29.04	34.6	345	175	6.65
샤코	3	64.6	0.715	750.12	371.2	9.47	8.06	31.88	34.6	350	125	7.49
세주아니	3	64.1	0.68	790	480	10.38	8.11	35.54	34.6	340	125	7.25
소나	3	56	0.659	636.36	430.6	6.52	12.3	27.14	30	325	550	8.01
소라카	3	56	0.638	685.04	470.8	3.5	9.8	30.98	30	325	550	7.7
쉔	3	66.9	0.673	740.8	200	9.47	50	33.72	30	335	125	7.71
쉬바나	3	67.5	0.669	784.6	100	10.19	0	34.33	34.6	350	125	7.69
스웨인	3	58	0.638	672.04	468	9.14	7.6	30.72	30	335	500	7.76
스카너	3	69.6	0.638	793.28	352.2	10.63	8.11	36.98	34.6	345	125	6.92
시비르	3	62.3	0.635	679.76	384	6.27	9.81	28.71	30	335	500	7.52
신드라	3	59.7	0.622	667.04	504	7.71	7.6	31.51	30	330	550	7.17
신지드	3	69.1	0.624	706.76	380.6	9.12	8.62	34.88	30	345	125	7.41
신짜오	3	64.1	0.69	765.16	343.8	9.58	8.16	32.88	34.6	345	175	7.27
쓰레쉬	3	52.1	0.625	746.52	361.92	8.02	7.6	16	30	335	450	7.95
