챔피언	레벨	공격력	공격속도	체력	마나	체력재생	마나재생	방어력	마법저항	이동속도	사거리	인기도
샤코	1	57.6	0.694	582.12	297.2	8.37	7.16	24.88	32.1	350	125	7.49
세주아니	1	57.5	0.67	600	400	8.68	7.21	29.54	32.1	340	125	7.25
소나	1	50	0.644	482.36	340.6	5.42	11.5	20.54	30	325	550	8.01
소라카	1	50	0.625	529.04	350.8	2.5	9	23.38	30	325	550	7.7
쉔	1	60.2	0.651	570.8	200	8.37	50	25.72	30	335	125	7.71
쉬바나	1	60.7	0.658	594.6	100	8.59	0	27.63	32.1	350	125	7.69
스웨인	1	52	0.625	516.04	374	7.84	6	22.72	30	335	500	7.76
스카너	1	61.2	0.625	601.28	272.2	8.93	7.21	29.38	32.1	345	125	6.92
시비르	1	57.5	0.625	515.76	284	5.17	8.01	22.21	30	335	500	7.52
신드라	1	53.9	0.61	511.04	384	6.51	6	24.71	30	330	550	7.17
신지드	1	62.3	0.613	542.76	290.6	8.02	7.52	27.88	30	345	125	7.41
신짜오	1	57.5	0.672	591.16	273.8	8.18	7.26	25.88	32.1	345	175	7.27
쓰레쉬	1	47.7	0.625	560.52	273.92	6.92	6	16	30	335	450	7.95
아리	1	53	0.668	514.4	334	6.51	6	20.88	30	330	550	8.05
아무무	1	53.4	0.638	613.12	287.2	8.88	7.38	23.54	32.1	335	125	7.72
아지르	1	52	0.6	524.4	350.56	6.92	6	19.04	30	325	525	6.27
아칼리	1	58.4	0.694	587.8	200	8.34	50	26.38	32.1	350	125	7.57
아트록스	1	60.4	0.651	537.8	105.6	6.59	0	24.38	32.1	345	150	6.78
알리스타	1	51	0.625	613.36	278.84	8.68	8.5	24.38	32.1	330	125	7.68
애니	1	50.4	0.579	511.68	334	5.42	6	19.22	30	335	625	7.66
애니비아	1	51.4	0.625	467.6	396.04	5.57	6	21.22	30	325	600	7.66
애쉬	1	56.5	0.658	527.72	280	5.42	11.5	21.21	30	325	600	7.42
앨리스	1	50.5	0.625	529.4	324	5.71	6	22.13	30	330	550	7.69
야스오	1	55.4	0.658	517.76	60	6.51	0	24.71	30	345	175	7.01
에코	1	59	0.625	580	280	9	9	27	32	340	125	7.57
오공	1	59.9	0.658	577.8	265.84	6.19	8.04	24.88	32.1	345	175	7.15
오리아나	1	40.4	0.658	517.72	334	6.87	6	17.04	30	325	525	7.7
요릭	1	57.6	0.625	563.8	293.8	8.18	6.76	25.05	32.1	345	125	6.87
우디르	1	58.3	0.658	593.32	270.4	8.71	7.51	25.47	32.1	345	125	5.31
우르곳	1	52	0.644	586.52	312.4	6.51	8.59	24.54	30	335	425	6.22
울라프	1	60	0.694	597.24	315.6	8.51	7.47	26.04	32.1	350	125	7.43
워윅	1	62.4	0.679	592.64	240.4	8.39	8.11	25.88	32.1	345	125	7.43
이렐리아	1	61.5	0.665	607.2	338.8	8.59	11.5	25.3	32.1	345	125	7.51
이블린	1	53.9	0.658	531.2	315.6	9.82	8.11	26.5	32.1	340	125	7.28
이즈리얼	1	55.7	0.625	484.4	360.6	6.42	8.09	21.88	30	325	550	7.96
일라오이	1	60	0.571	585.6	300	9.5	7.5	26	32.1	340	125	7.88
자르반4세	1	55.7	0.658	571.2	302.2	8.18	6.76	29	32.1	340	175	7.7
자이라	1	53.4	0.625	479.32	334	5.69	8.5	20.04	30	325	575	7.62
잔나	1	52	0.625	487.04	409.52	5.42	9	19.38	30	335	475	7.6
재드	1	54.7	0.687	579.4	200	7.09	50	26.88	32.1	345	125	7.94
잭스	1	62	0.638	592.8	338.8	8.37	7.58	27.04	32.1	350	125	7.7
쟈크	1	59.7	0.638	614.6	0	7.92	0	23.88	32.1	335	175	7.72
제라스	1	54.7	0.63	514.4	366.96	5.42	6	21.88	30	340	525	7
제이스	1	50.4	0.658	571.2	357.2	7.34	6	22.38	30	335	125	7.67
직스	1	54.2	0.656	524.4	384	6.26	6	21.54	30	325	550	7.68
질리언	1	51.6	0.625	499.28	360.8	5.44	8.5	19.13	30	335	550	7.41
징크스	1	58.5	0.625	517.76	245.6	5.84	6.68	22.88	30	325	525	7.73
초가스	1	61.2	0.625	574.4	272.2	8.93	7.21	28.88	32.1	345	125	7.5
카르마	1	53.5	0.625	522.44	374	5.62	8.5	20.38	30	335	525	6.61
카사딘	1	58.9	0.64	564.04	397.6	7.79	6	23.38	30	340	150	7.66
카서스	1	45.7	0.625	516	372.48	6.42	6	20.88	30	335	450	7.69
카시오페이아	1	52.4	0.647	506	370.8	5.69	8.36	22.22	30	335	550	6.41
카직스	1	55.2	0.665	572.8	327.2	7.51	7.59	27	32.1	350	125	7.63
카타리나	1	58	0.658	510	0	4.5	0	26.88	32.1	345	125	7.71
칼리스타	1	62.9	0.658	517.76	231.8	6	6.3	19.01	30	325	550	7.16
케넨	1	50.5	0.69	535.72	200	5.59	50	24.3	30	335	550	7.63
케이틀린	1	53.7	0.625	524.4	313.8	5.67	7.42	22.88	30	325	650	7.72
케일	1	56	0.638	574.24	322.2	8.26	8.5	26.88	30	335	125	7.55
코그모	1	54.5	0.665	517	348.88	5.92	8.68	19.88	30	325	500	7.46
코르키	1	56	0.625	512.76	350.16	5.42	7.42	23.38	30	325	550	7.17
퀸	1	56.5	0.668	532.8	268.8	5.42	6.97	23.38	30	335	525	7.06
킨드레드	1	54.4	0.625	540	300	7	6.5	27	30	325	500	7.78
타릭	1	57.9	0.625	619.2	349.08	7.94	8.5	25.88	32.1	340	125	6.92
탈론	1	55.2	0.668	582.8	377.2	8.51	7.59	26.88	32.1	350	125	7.68
탐켄치	1	56	0.625	610	325	6.5	8	27	32.1	335	175	7.26
트런들	1	60	0.672	616.28	281.6	9.43	7.51	27.54	32.1	350	175	6.6
트리스타나	1	51.5	0.656	542.76	246.76	6.19	7.21	22	30	325	550	7.59
트린다미어	1	61.4	0.644	625.64	100	8.51	0	24.11	32.1	345	125	7.68
트위스티드페이트	1	50	0.651	521.76	265.84	5.51	6	20.54	30	330	525	7.72
트위치	1	54.5	0.679	525.08	287.2	6.01	7.26	23.04	30	330	550	6.98
티모	1	57.1	0.687	515.76	267.2	5.74	7.21	24.3	30	330	500	6.19
판테온	1	55.6	0.644	579.16	317.12	7.84	7.36	27.65	32.1	355	150	7.7
피들스틱	1	48.4	0.625	524.4	400.12	5.61	6	20.88	30	335	480	7.44
피오라	1	60	0.672	550	300	8.25	8	24	32.1	345	150	7.16
피즈	1	58	0.658	558.48	317.2	8.18	6	22.41	32.1	335	175	7.55
하이머딩거	1	55.5	0.625	476	307.2	11.01	6	19.04	30	340	550	6.33
헤카림	1	61.4	0.67	599.6	327.2	9.26	7.51	26.72	32.1	345	175	7.5
